"name","link","values_string"
Brand_Disney+Hotstar_Mar10_myAISnoti,PYHpLoGfo,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FWebview%3Furl%3Dhttps%3A%2F%2Fm.ais.co.th%2FbnHAzmzcV?cid=myais_push-DisneyMarTH-mar10-conversion
Brand_Line_Disney,vBHw9EDIQ,https://myais.ais.co.th/aurora-package-register?cid=fb_organic-DisneyAPR-apr12-click
Cake Swiper,CakeEmag,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification%3Fmenu%3Dcakeswiper
Cake Swiper,Cakefbads,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification%3Fmenu%3Dcakeswiper
Calendar myAIS Flash,"7LH8belf8",https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FCalendarPack
Calendar myAIS Flash,epHD3lgtY,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FCalendarPack
Calendar myAIS Flash,KYHGEgwfx,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FCalendarPack
Calendar myAIS Flash,myaiscldnoti,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FCalendarPack
Calendar myAIS Flash,myaiscldsms,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FCalendarPack
"30thAIS_AISPoints_Oct20",EKHKjD2Uy,https://myais.ais.co.th/openMyAISApp?scheme=TodayCoupon
"30thAIS_AISPoints_Oct20",qxHDmgWUO,https://myais.ais.co.th/openMyAISApp?scheme=PrivilegeList%3Ftype%3Dpoint%26id%3D525
Account linking for wongnai & News,DeH860AC8,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FAddPointPartners
Account Linking Points plus,"9WHOVmQFG",https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FAddPointPartners
Account Linking Points plus,BBH8A9Pt8,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FAddPointPartners
